"x","y"
-124.25,39.75
-123.75,39.75
-123.25,39.75
-122.75,39.75
-122.25,39.75
-121.75,39.75
-121.25,39.75
-120.75,39.75
-120.25,39.75
-119.75,39.75
-119.25,39.75
-118.75,39.75
-118.25,39.75
-117.75,39.75
-117.25,39.75
-116.75,39.75
-116.25,39.75
-115.75,39.75
-115.25,39.75
-114.75,39.75
-114.25,39.75
-113.75,39.75
-113.25,39.75
-112.75,39.75
-112.25,39.75
-111.75,39.75
-111.25,39.75
-110.75,39.75
-110.25,39.75
-109.75,39.75
-109.25,39.75
-108.75,39.75
-108.25,39.75
-107.75,39.75
-107.25,39.75
-106.75,39.75
-106.25,39.75
-105.75,39.75
-105.25,39.75
-104.75,39.75
-104.25,39.75
-103.75,39.75
-103.25,39.75
-102.75,39.75
-102.25,39.75
-101.75,39.75
-101.25,39.75
-100.75,39.75
-100.25,39.75
-99.75,39.75
-99.25,39.75
-98.75,39.75
-98.25,39.75
-97.75,39.75
-97.25,39.75
-96.75,39.75
-96.25,39.75
-95.75,39.75
-95.25,39.75
-94.75,39.75
-94.25,39.75
-93.75,39.75
-93.25,39.75
-92.75,39.75
-92.25,39.75
-91.75,39.75
-91.25,39.75
-90.75,39.75
-90.25,39.75
-89.75,39.75
-89.25,39.75
-88.75,39.75
-88.25,39.75
-87.75,39.75
-87.25,39.75
-86.75,39.75
-86.25,39.75
-85.75,39.75
-85.25,39.75
-84.75,39.75
-84.25,39.75
-83.75,39.75
-83.25,39.75
-82.75,39.75
-82.25,39.75
-81.75,39.75
-81.25,39.75
-80.75,39.75
-80.25,39.75
-79.75,39.75
-79.25,39.75
-78.75,39.75
-78.25,39.75
-77.75,39.75
-77.25,39.75
-76.75,39.75
-76.25,39.75
-75.75,39.75
-75.25,39.75
-74.75,39.75
-74.25,39.75
-123.75,39.25
-123.25,39.25
-122.75,39.25
-122.25,39.25
-121.75,39.25
-121.25,39.25
-120.75,39.25
-120.25,39.25
-119.75,39.25
-119.25,39.25
-118.75,39.25
-118.25,39.25
-117.75,39.25
-117.25,39.25
-116.75,39.25
-116.25,39.25
-115.75,39.25
-115.25,39.25
-114.75,39.25
-114.25,39.25
-113.75,39.25
-113.25,39.25
-112.75,39.25
-112.25,39.25
